hanja|hangul|english|hidden_index
牽牛星|견우성|Altair| 牽 牛 星    
兩棲類|양서류|Amphibia| 兩 棲 類    
北氷洋|북빙양|Arctic Ocean| 北 氷 洋    
濠洲|호주|Australia| 濠 洲     
聖書|성서|Bible| 聖 書     
白人|백인|Caucasian| 白 人     
攝氏|섭씨|Celsius| 攝 氏     
中米|중미|Central America| 中 米     
中國|중국|China| 中 國     
漢字|한자|Chinese character| 漢 字     
中共|중공|Communist China| 中 共     
死海|사해|Dead Sea| 死 海     
東印度|동인도|East Indies| 東 印 度    
輸卵管|수란관|Fallopian tube| 輸 卵 管    
極東|극동|Far East| 極 東     
金曜日|금요일|Friday| 金 曜 日    
風疹|풍진|German measles| 風 疹     
獨逸|독일|Germany| 獨 逸     
北斗七星|북두칠성|Great Bear| 北 斗 七 星   
聖地|성지|Holy Land| 聖 地     
日本|일본|Japan| 日 本     
韓國|한국|Korea| 韓 國     
下院|하원|Lower House| 下 院     
滿洲|만주|Manchuria| 滿 洲     
地中海|지중해|Mediterranean Sea| 地 中 海    
中生代|중생대|Mesozoic era| 中 生 代    
西半球|서반구|Occident| 西 半 球    
東洋風|동양풍|Oriental| 東 洋 風    
紅海|홍해|Red Sea| 紅 海     
土曜日|토요일|Saturday| 土 曜 日    
天狼星|천랑성|Sirius| 天 狼 星    
南支那海|남지나해|South China Sea| 南 支 那 海   
日曜日|일요일|Sunday| 日 曜 日    
木曜日|목요일|Thursday| 木 曜 日    
火曜日|화요일|Tuesday| 火 曜 日    
水曜日|수요일|Wednesday| 水 曜 日    
神父|신부|abbe| 神 父     
省略|생략|abbreviation| 省 略     
略語|약어|abbreviation| 略 語     
略字|약자|abbreviation| 略 字     
退位|퇴위|abdication| 退 位     
腹部|복부|abdomen| 腹 部     
中絶|중절|abeyance| 中 絶     
停止|정지|abeyance| 停 止     
能力|능력|ability| 能 力     
才能|재능|ability| 才 能     
異常|이상|abnormality| 異 常     
廢止|폐지|abolition| 廢 止     
原住民|원주민|aboriginal| 原 住 民    
流産流産|유산|abortion| 流 産 流 産   
擦過傷|찰과상|abrasion| 擦 過 傷    
膿瘍|농양|abscess| 膿 瘍     
失踪|실종|abscondence| 失 踪     
不在|부재|absence| 不 在     
缺席|결석|absence| 缺 席     
吸收|흡수|absorption| 吸 收     
禁慾|금욕|abstinence| 禁 慾     
禁酒|금주|abstinence| 禁 酒     
抽象|추상적인|abstract| 抽 象     
豊富|풍부|abundance| 豊 富     
潤澤|윤택|abundance| 潤 澤     
濫用|남용하다|abuse| 濫 用     
惡用|악용하다|abuse| 惡 用     
虐待|학대하다|abuse| 虐 待     
惡用|악용|abuse| 惡 用     
濫用|남용|abuse| 濫 用     
學究的|학구적인|academic| 學 究 的    
學園|학원|academy| 學 園     
加速|가속|acceleration| 加 速     
促進|촉진|acceleration| 促 進     
加速度|가속도|acceleration| 加 速 度    
語調|어조|accent| 語 調     
繼承|계승|accession| 繼 承     
事故|사고|accident| 事 故     
歡呼|환호|acclamation| 歡 呼     
喝采|갈채|acclamation| 喝 采     
適應|적응|accommodation| 適 應     
和解|화해|accommodation| 和 解     
融通|융통|accommodation| 融 通     
便宜|편의|accommodation| 便 宜     
伴奏|반주|accompaniment| 伴 奏     
共犯者|공범자|accomplice| 共 犯 者    
同類|동류|accomplice| 同 類     
遂行|수행|accomplishment| 遂 行     
記事|기사|account| 記 事     
集積|집적|accumulation| 集 積     
蓄積|축적|accumulation| 蓄 積     
告訴|고소|accusation| 告 訴     
醋酸|초산|acetic acid| 醋 酸     
酸敗|산패|acidification| 酸 敗     
酸性|산성|acidity| 酸 性     
承認|승인|acknowledgement| 承 認     
面識|면식|acquaintance| 面 識     
取得|취득|acquisition| 取 得     
獲得|획득|acquisition| 獲 得     
免除|면제하다|acquit| 免 除     
釋放|석방|acquittal| 釋 放     
曲藝|곡예|acrobatic| 曲 藝     
曲藝|곡예|acrobatics| 曲 藝     
行爲|행위|act| 行 爲     
作用|작용하다|act| 作 用     
活動|활동|action| 活 動     
行動|행동|action| 行 動     
動作|동작|action| 動 作     
作用|작용|action| 作 用     
積極的|적극적인|active| 積 極 的    
活動|활동|activity| 活 動     
活躍|활약|activity| 活 躍     
活況|활황|activity| 活 況     
鍼術|침술|acupuncture| 鍼 術     
適應|적응|adaptation| 適 應     
加算|가산하다|add| 加 算     
加數|가수|addend| 加 數     
加算|가산|addition| 加 算     
執着|집착|adhesion| 執 着     
粘着|점착|adhesion| 粘 着     
隣接|인접하는|adjacent| 隣 接     
隣接|인접하다|adjoin| 隣 接     
休會|휴회하다|adjourn| 休 會     
調節|조절|adjustment| 調 節     
修整|수정|adjustment| 修 整     
調整|조정|adjustment| 調 整     
經營|경영|administration| 經 營     
行政|행정|administration| 行 政     
提督|제독|admiral| 提 督     
感嘆|감탄|admiration| 感 嘆     
入場|입장|admission| 入 場     
自認|자인|admission| 自 認     
訓戒|훈계|admonition| 訓 戒     
採用|채용하다|adopt| 採 用     
採擇|채택|adoption| 採 擇     
崇拜|숭배|adoration| 崇 拜     
愛慕|애모|adoration| 愛 慕     
崇拜者|숭배자|adorer| 崇 拜 者    
成人|성인|adult| 成 人     
姦夫|간부|adulterer| 姦 夫     
姦通|간통|adultery| 姦 通     
便宜|편의|advantage| 便 宜     
利点利點|이점|advantage| 利 点 利 點   
冒險|모험|adventure| 冒 險     
副詞|부사|adverb| 副 詞     
逆境|역경|adversity| 逆 境     
廣告|광고|advertisement| 廣 告     
忠告|충고|advice| 忠 告     
助言|조언|advice| 助 言     
助言者|조언자|adviser| 助 言 者    
顧問|고문|adviser| 顧 問     
辨護辯護|변호|advocacy| 辨 護 辯 護   
主張|주장|advocacy| 主 張     
飛行機|비행기|aeroplane| 飛 行 機    
審美的|심미적인|aesthetic| 審 美 的    
事件|사건|affair| 事 件     
愛情|애정|affection| 愛 情     
加入|가입|affiliation| 加 入     
斷言|단언|affirmation| 斷 言     
流入流入|유입|afflux| 流 入 流 入   
産出|산출하다|afford| 産 出     
侮辱|모욕하다|affront| 侮 辱     
後産|후산|afterbirth| 後 産     
後腦|후뇌|afterbrain| 後 腦     
後甲板|후갑판|afterdeck| 後 甲 板    
殘像|잔상|afterimage| 殘 像     
午後|오후|afternoon| 午 後     
寸劇|익살맞은 촌극|afterpiece| 寸 劇     
餘震|여진|aftershock| 餘 震     
瑪瑙|마노|agate| 瑪 瑙     
年齡|연령|age| 年 齡     
世代|세대|age| 世 代     
代理店|대리점|agency| 代 理 店    
議題|의제|agenda| 議 題     
代理人|대리인|agent| 代 理 人    
惡化|악화|aggravation| 惡 化     
集成|집성|aggregation| 集 成     
侵掠|침략|aggression| 侵 掠     
侵略的|침략적인|aggressive| 侵 略 的    
侵略者|침략자|aggressor| 侵 略 者    
動搖|동요|agitation| 動 搖     
興奮|흥분|agitation| 興 奮     
動亂|동란|agitation| 動 亂     
苦痛|고통|agony| 苦 痛     
苦惱|고뇌|agony| 苦 惱     
一致|일치하다|agree| 一 致     
同意|동의|agreement| 同 意     
契約|계약|agreement| 契 約     
一致|일치|agreement| 一 致     
農業|농업|agriculture| 農 業     
農學|농학|agriculture| 農 學     
禾本學|화본학|agrostology| 禾 本 學    
惡寒|오한|ague| 惡 寒     
不殺生|불살생|ahimsa| 不 殺 生    
副官|부관|aide| 副 官     
空氣|공기|air| 空 氣     
空中|공중|air| 空 中     
防空|방공|air defense| 防 空     
空襲|공습|air raid| 空 襲     
空輸|공수|air transport| 空 輸     
空港|공항|airport| 空 港     
飛行船|비행선|airship| 飛 行 船    
敏活|민활|alacrity| 敏 活     
警鐘|경종|alarm bell| 警 鐘     
信天翁|신천옹|albatross| 信 天 翁    
代數|대수|algebra| 代 數     
殺藻劑|살조제|algicide| 殺 藻 劑    
寓話|우화|allegory| 寓 話     
同盟|동맹|alliance| 同 盟     
頭韻|두운|alliteration| 頭 韻     
割當|할당|allotment| 割 當     
合金|합금|alloy| 合 金     
合金|합금하다|alloy| 合 金     
誘惑|유혹|allurement| 誘 惑     
扁桃|편도|almond| 扁 桃     
布施|보시|alms| 布 施     
沈香|침향|aloe| 沈 香     
交流|교류|alternating current| 交 流     
高度|고도|altitude| 高 度     
大使|대사|ambassador| 大 使     
琥珀|호박|amber| 琥 珀     
野心|야심|ambition| 野 心     
